"time"
"06/04/2020 0:00"
"06/04/2020 0:05"
"06/04/2020 0:10"
"06/04/2020 0:15"
"06/04/2020 0:20"
"06/04/2020 0:25"
"06/04/2020 0:30"
"06/04/2020 0:35"
"06/04/2020 0:40"
"06/04/2020 0:45"
"06/04/2020 0:50"
"06/04/2020 0:55"
"06/04/2020 1:00"
"06/04/2020 1:05"
"06/04/2020 1:10"
"06/04/2020 1:15"
"06/04/2020 1:20"
"06/04/2020 1:25"
"06/04/2020 1:30"
"06/04/2020 1:35"
"06/04/2020 1:40"
"06/04/2020 1:45"
"06/04/2020 1:50"
"06/04/2020 1:55"
"06/04/2020 2:00"
"06/04/2020 2:05"
"06/04/2020 2:10"
"06/04/2020 2:15"
"06/04/2020 2:20"
"06/04/2020 2:25"
"06/04/2020 2:30"
"06/04/2020 2:35"
"06/04/2020 2:40"
"06/04/2020 2:45"
"06/04/2020 2:50"
"06/04/2020 2:55"
"06/04/2020 3:00"
"06/04/2020 3:05"
"06/04/2020 3:10"
"06/04/2020 3:15"
"06/04/2020 3:20"
"06/04/2020 3:25"
"06/04/2020 3:30"
"06/04/2020 3:35"
"06/04/2020 3:40"
"06/04/2020 3:45"
"06/04/2020 3:50"
"06/04/2020 3:55"
"06/04/2020 4:00"
"06/04/2020 4:05"
"06/04/2020 4:10"
"06/04/2020 4:15"
"06/04/2020 4:20"
"06/04/2020 4:25"
"06/04/2020 4:30"
"06/04/2020 4:35"
"06/04/2020 4:40"
"06/04/2020 4:45"
"06/04/2020 4:50"
"06/04/2020 4:55"
"06/04/2020 5:00"
"06/04/2020 5:05"
"06/04/2020 5:10"
"06/04/2020 5:15"
"06/04/2020 5:20"
"06/04/2020 5:25"
"06/04/2020 5:30"
"06/04/2020 5:35"
"06/04/2020 5:40"
"06/04/2020 5:45"
"06/04/2020 5:50"
"06/04/2020 5:55"
"06/04/2020 6:00"
"06/04/2020 6:05"
"06/04/2020 6:10"
"06/04/2020 6:15"
"06/04/2020 6:20"
"06/04/2020 6:25"
"06/04/2020 6:30"
"06/04/2020 6:35"
"06/04/2020 6:40"
"06/04/2020 6:45"
"06/04/2020 6:50"
"06/04/2020 6:55"
"06/04/2020 7:00"
"06/04/2020 7:05"
"06/04/2020 7:10"
"06/04/2020 7:15"
"06/04/2020 7:20"
"06/04/2020 7:25"
"06/04/2020 7:30"
"06/04/2020 7:35"
"06/04/2020 7:40"
"06/04/2020 7:45"
"06/04/2020 7:50"
"06/04/2020 7:55"
"06/04/2020 8:00"
"06/04/2020 8:05"
"06/04/2020 8:10"
"06/04/2020 8:15"
"06/04/2020 8:20"
"06/04/2020 8:25"
"06/04/2020 8:30"
"06/04/2020 8:35"
"06/04/2020 8:40"
"06/04/2020 8:45"
"06/04/2020 8:50"
"06/04/2020 8:55"
"06/04/2020 9:00"
"06/04/2020 9:05"
"06/04/2020 9:10"
"06/04/2020 9:15"
"06/04/2020 9:20"
"06/04/2020 9:25"
"06/04/2020 9:30"
"06/04/2020 9:35"
"06/04/2020 9:40"
"06/04/2020 9:45"
"06/04/2020 9:50"
"06/04/2020 9:55"
"06/04/2020 10:00"
"06/04/2020 10:05"
"06/04/2020 10:10"
"06/04/2020 10:15"
"06/04/2020 10:20"
"06/04/2020 10:25"
"06/04/2020 10:30"
"06/04/2020 10:35"
"06/04/2020 10:40"
"06/04/2020 10:45"
"06/04/2020 10:50"
"06/04/2020 10:55"
"06/04/2020 11:00"
"06/04/2020 11:05"
"06/04/2020 11:10"
"06/04/2020 11:15"
"06/04/2020 11:20"
"06/04/2020 11:25"
"06/04/2020 11:30"
"06/04/2020 11:35"
"06/04/2020 11:40"
"06/04/2020 11:45"
"06/04/2020 11:50"
"06/04/2020 11:55"
"06/04/2020 12:00"
"06/04/2020 12:05"
"06/04/2020 12:10"
"06/04/2020 12:15"
"06/04/2020 12:20"
"06/04/2020 12:25"
"06/04/2020 12:30"
"06/04/2020 12:35"
"06/04/2020 12:40"
"06/04/2020 12:45"
"06/04/2020 12:50"
"06/04/2020 12:55"
"06/04/2020 13:00"
"06/04/2020 13:05"
"06/04/2020 13:10"
"06/04/2020 13:15"
"06/04/2020 13:20"
"06/04/2020 13:25"
"06/04/2020 13:30"
"06/04/2020 13:35"
"06/04/2020 13:40"
"06/04/2020 13:45"
"06/04/2020 13:50"
"06/04/2020 13:55"
"06/04/2020 14:00"
"06/04/2020 14:05"
"06/04/2020 14:10"
"06/04/2020 14:15"
"06/04/2020 14:20"
"06/04/2020 14:25"
"06/04/2020 14:30"
"06/04/2020 14:35"
"06/04/2020 14:40"
"06/04/2020 14:45"
"06/04/2020 14:50"
"06/04/2020 14:55"
"06/04/2020 15:00"
"06/04/2020 15:05"
"06/04/2020 15:10"
"06/04/2020 15:15"
